destination;shift_indicator;shift;origin;blue_depot_ind_origin;product_type;crossdock;inter_3;transport_direction
STT;6;H6;BFC;Nee;STT shift 6;XWW;;XWW
STT;5;H5;BFC;Nee;STT shift 5;XWW;;XWW
STT;4;H4;BFC;Nee;STT shift 4;XWW;;XWW
STT;3;H3;BFC;Nee;STT shift 3;XWW;;XWW
STT;2;H2;BFC;Nee;STT shift 2;XWW;;XWW
STT;1;H1;BFC;Nee;STT shift 1;XWW;;XWW
TB;8;H8;BFC;Nee;TB shift 8;TL;;TL
TB;7;H7;BFC;Nee;TB shift 7;TL;;TL
TB;6;H6;BFC;Nee;TB shift 6;TL;;TL
TB;5;H5;BFC;Nee;TB shift 5;TL;;TL
TB;4;H4;BFC;Nee;TB shift 4;TL;;TL
TB;3;H3;BFC;Nee;TB shift 3;TL;;TL
TB;2;H2;BFC;Nee;TB shift 2;TL;;TL
TB;1;H1;BFC;Nee;TB shift 1;TL;;TL
TB;N;N;BFC;Nee;TB shift N;TL;;TL
UT;9;H9;BFC;Nee;UT shift 9;TL;;TL
UT;8;H8;BFC;Nee;UT shift 8;TL;;TL
UT;7;H7;BFC;Nee;UT shift 7;TL;;TL
UT;6;H6;BFC;Nee;UT shift 6;TL;;TL
UT;5;H5;BFC;Nee;UT shift 5;TL;;TL
UT;4;H4;BFC;Nee;UT shift 4;TL;;TL
UT;3;H3;BFC;Nee;UT shift 3;TL;;TL
UT;2;H2;BFC;Nee;UT shift 2;TL;;TL
UT;1;H1;BFC;Nee;UT shift 1;TL;;TL
UT;N;N;BFC;Nee;UT shift N;TL;;TL
VIL;8;H8;BFC;Nee;VIL shift 8;XWW;;XWW
VIL;7;H7;BFC;Nee;VIL shift 7;XWW;;XWW
VIL;6;H6;BFC;Nee;VIL shift 6;XWW;;XWW
VIL;5;H5;BFC;Nee;VIL shift 5;XWW;;XWW
VIL;4;H4;BFC;Nee;VIL shift 4;XWW;;XWW
VIL;3;H3;BFC;Nee;VIL shift 3;XWW;;XWW
VIL;2;H2;BFC;Nee;VIL shift 2;XWW;;XWW
VIL;1;H1;BFC;Nee;VIL shift 1;XWW;;XWW
VL;9;H9;BFC;Nee;VL shift 9;XWW;;XWW
VL;8;H8;BFC;Nee;VL shift 8;XWW;;XWW
VL;7;H7;BFC;Nee;VL shift 7;XWW;;XWW
VL;6;H6;BFC;Nee;VL shift 6;XWW;;XWW
VL;5;H5;BFC;Nee;VL shift 5;XWW;;XWW
VL;4;H4;BFC;Nee;VL shift 4;XWW;;XWW
VL;3;H3;BFC;Nee;VL shift 3;XWW;;XWW
VL;2;H2;BFC;Nee;VL shift 2;XWW;;XWW
VL;1;H1;BFC;Nee;VL shift 1;XWW;;XWW
VL;N;N;BFC;Nee;VL shift N;XWW;;XWW
WB;6;H6;BFC;Nee;WB shift 6;XWW;;XWW
WB;5;H5;BFC;Nee;WB shift 5;XWW;;XWW
WB;4;H4;BFC;Nee;WB shift 4;XWW;;XWW
WB;3;H3;BFC;Nee;WB shift 3;XWW;;XWW
WB;2;H2;BFC;Nee;WB shift 2;XWW;;XWW
WB;1;H1;BFC;Nee;WB shift 1;XWW;;XWW
WB;N;N;BFC;Nee;WB shift N;XWW;;XWW
WML;7;H7;BFC;Nee;WML shift 7;XWW;;XWW
WML;6;H6;BFC;Nee;WML shift 6;XWW;;XWW
WML;5;H5;BFC;Nee;WML shift 5;XWW;;XWW
WML;4;H4;BFC;Nee;WML shift 4;XWW;;XWW
WML;3;H3;BFC;Nee;WML shift 3;XWW;;XWW
WML;2;H2;BFC;Nee;WML shift 2;XWW;;XWW
WML;1;H1;BFC;Nee;WML shift 1;XWW;;XWW
WVN;9;H9;BFC;Nee;WVN shift 9;TL;;TL
WVN;8;H8;BFC;Nee;WVN shift 8;TL;;TL
WVN;7;H7;BFC;Nee;WVN shift 7;TL;;TL
WVN;6;H6;BFC;Nee;WVN shift 6;TL;;TL
WVN;5;H5;BFC;Nee;WVN shift 5;TL;;TL
WVN;4;H4;BFC;Nee;WVN shift 4;TL;;TL
WVN;3;H3;BFC;Nee;WVN shift 3;TL;;TL
WVN;2;H2;BFC;Nee;WVN shift 2;TL;;TL
WVN;1;H1;BFC;Nee;WVN shift 1;TL;;TL
WVN;N;N;BFC;Nee;WVN shift N;TL;;TL
WZN;8;H8;BFC;Nee;WZN shift 8;XASD;;XASD
WZN;7;H7;BFC;Nee;WZN shift 7;XASD;;XASD
WZN;6;H6;BFC;Nee;WZN shift 6;XASD;;XASD
WZN;5;H5;BFC;Nee;WZN shift 5;XASD;;XASD
WZN;4;H4;BFC;Nee;WZN shift 4;XASD;;XASD
WZN;3;H3;BFC;Nee;WZN shift 3;XASD;;XASD
WZN;2;H2;BFC;Nee;WZN shift 2;XASD;;XASD
WZN;1;H1;BFC;Nee;WZN shift 1;XASD;;XASD
WZN;N;N;BFC;Nee;WZN shift N;XASD;;XASD
ZL;10;H10;BFC;Nee;ZL shift 10;TL;;TL
ZL;9;H9;BFC;Nee;ZL shift 9;TL;;TL
ZL;8;H8;BFC;Nee;ZL shift 8;TL;;TL
ZL;7;H7;BFC;Nee;ZL shift 7;TL;;TL
ZL;6;H6;BFC;Nee;ZL shift 6;TL;;TL
ZL;5;H5;BFC;Nee;ZL shift 5;TL;;TL
ZL;4;H4;BFC;Nee;ZL shift 4;TL;;TL
ZL;3;H3;BFC;Nee;ZL shift 3;TL;;TL
ZL;2;H2;BFC;Nee;ZL shift 2;TL;;TL
ZL;1;H1;BFC;Nee;ZL shift 1;TL;;TL
ZL;N;N;BFC;Nee;ZL shift N;TL;;TL
HGV;10;H10;BFC;Nee;HGV shift 10;TL;;TL
HGV;9;H9;BFC;Nee;HGV shift 9;TL;;TL
HGV;8;H8;BFC;Nee;HGV shift 8;TL;;TL
HGV;7;H7;BFC;Nee;HGV shift 7;TL;;TL
HGV;6;H6;BFC;Nee;HGV shift 6;TL;;TL
HGV;5;H5;BFC;Nee;HGV shift 5;TL;;TL
HGV;4;H4;BFC;Nee;HGV shift 4;TL;;TL
HGV;3;H3;BFC;Nee;HGV shift 3;TL;;TL
HGV;2;H2;BFC;Nee;HGV shift 2;TL;;TL
HGV;1;H1;BFC;Nee;HGV shift 1;TL;;TL
HGV;N;N;BFC;Nee;HGV shift N;TL;;TL
AL;4;H4;BORN;Nee;AL shift 4;NIWG;;NIWG
AL;3;H3;BORN;Nee;AL shift 3;NIWG;;NIWG
AL;2;H2;BORN;Nee;AL shift 2;NIWG;;NIWG
AL;1;H1;BORN;Nee;AL shift 1;NIWG;;NIWG
AL;N;N;BORN;Nee;AL shift N;NIWG;;NIWG
ALR;9;H9;BORN;Nee;ALR shift 9;TL;;TL
ALR;8;H8;BORN;Nee;ALR shift 8;TL;;TL
ALR;7;H7;BORN;Nee;ALR shift 7;TL;;TL
ALR;6;H6;BORN;Nee;ALR shift 6;TL;;TL
ALR;5;H5;BORN;Nee;ALR shift 5;TL;;TL
ALR;4;H4;BORN;Nee;ALR shift 4;TL;;TL
ALR;3;H3;BORN;Nee;ALR shift 3;TL;;TL
ALR;2;H2;BORN;Nee;ALR shift 2;TL;;TL
ALR;1;H1;BORN;Nee;ALR shift 1;TL;;TL
ALR;N;N;BORN;Nee;ALR shift N;TL;;TL
AMF;9;H9;BORN;Nee;AMF shift 9;TL;;TL
AMF;8;H8;BORN;Nee;AMF shift 8;TL;;TL
AMF;7;H7;BORN;Nee;AMF shift 7;TL;;TL
AMF;6;H6;BORN;Nee;AMF shift 6;TL;;TL
AMF;5;H5;BORN;Nee;AMF shift 5;TL;;TL
AMF;4;H4;BORN;Nee;AMF shift 4;AMF;;AMF
AMF;3;H3;BORN;Nee;AMF shift 3;AMF;;AMF
AMF;2;H2;BORN;Nee;AMF shift 2;AMF;;AMF
AMF;1;H1;BORN;Nee;AMF shift 1;AMF;;AMF
AMF;N;N;BORN;Nee;AMF shift N;AMF;;AMF
AP;9;H9;BORN;Nee;AP shift 9;TL;;TL
AP;8;H8;BORN;Nee;AP shift 8;TL;;TL
AP;7;H7;BORN;Nee;AP shift 7;TL;;TL
AP;6;H6;BORN;Nee;AP shift 6;TL;;TL
AP;5;H5;BORN;Nee;AP shift 5;TL;;TL
AP;4;H4;BORN;Nee;AP shift 4;AMF;;AMF
AP;3;H3;BORN;Nee;AP shift 3;AMF;;AMF
AP;2;H2;BORN;Nee;AP shift 2;AMF;;AMF
AP;1;H1;BORN;Nee;AP shift 1;AMF;;AMF
AP;N;N;BORN;Nee;AP shift N;AMF;;AMF
ARD;6;H6;BORN;Nee;ARD shift 6;XWW;;XWW
ARD;5;H5;BORN;Nee;ARD shift 5;XWW;;XWW
ARD;4;H4;BORN;Nee;ARD shift 4;XWW;;XWW
ARD;3;H3;BORN;Nee;ARD shift 3;XWW;;XWW
ARD;2;H2;BORN;Nee;ARD shift 2;XWW;;XWW
ARD;1;H1;BORN;Nee;ARD shift 1;XWW;;XWW
ASD;9;H9;BORN;Nee;ASD shift 9;XASD;;XASD
ASD;8;H8;BORN;Nee;ASD shift 8;XASD;;XASD
ASD;7;H7;BORN;Nee;ASD shift 7;XASD;;XASD
ASD;6;H6;BORN;Nee;ASD shift 6;XASD;;XASD
ASD;5;H5;BORN;Nee;ASD shift 5;XASD;;XASD
ASD;4;H4;BORN;Nee;ASD shift 4;XASD;;XASD
ASD;3;H3;BORN;Nee;ASD shift 3;XASD;;XASD
ASD;2;H2;BORN;Nee;ASD shift 2;XASD;;XASD
ASD;1;H1;BORN;Nee;ASD shift 1;XASD;;XASD
ASD;N;N;BORN;Nee;ASD shift N;XASD;;XASD
ASN;4;H4;BORN;Nee;ASN shift 4;AMF;;AMF
ASN;3;H3;BORN;Nee;ASN shift 3;AMF;;AMF
ASN;2;H2;BORN;Nee;ASN shift 2;AMF;;AMF
ASN;1;H1;BORN;Nee;ASN shift 1;AMF;;AMF
ASN;N;N;BORN;Nee;ASN shift N;AMF;;AMF
BD;8;H8;BORN;Nee;BD shift 8;XWW;;XWW
BD;7;H7;BORN;Nee;BD shift 7;XWW;;XWW
BD;6;H6;BORN;Nee;BD shift 6;XWW;;XWW
BD;5;H5;BORN;Nee;BD shift 5;XWW;;XWW
BD;4;H4;BORN;Nee;BD shift 4;HT;;HT
BD;3;H3;BORN;Nee;BD shift 3;HT;;HT
BD;2;H2;BORN;Nee;BD shift 2;HT;;HT
BD;1;H1;BORN;Nee;BD shift 1;HT;;HT
BD;N;N;BORN;Nee;BD shift N;HT;;HT
DDT;7;H7;BORN;Nee;DDT shift 7;TL;;TL
DDT;6;H6;BORN;Nee;DDT shift 6;TL;;TL
DDT;5;H5;BORN;Nee;DDT shift 5;TL;;TL
DDT;4;H4;BORN;Nee;DDT shift 4;NIWG;;NIWG
DDT;3;H3;BORN;Nee;DDT shift 3;NIWG;;NIWG
DDT;2;H2;BORN;Nee;DDT shift 2;NIWG;;NIWG
DDT;1;H1;BORN;Nee;DDT shift 1;NIWG;;NIWG
DDT;N;N;BORN;Nee;DDT shift N;NIWG;;NIWG
DTD;5;H5;BORN;Nee;DTD shift 5;XWW;;XWW
DTD;4;H4;BORN;Nee;DTD shift 4;XWW;;XWW
DTD;3;H3;BORN;Nee;DTD shift 3;XWW;;XWW
DTD;2;H2;BORN;Nee;DTD shift 2;XWW;;XWW
DTD;1;H1;BORN;Nee;DTD shift 1;XWW;;XWW
ELT;10;H10;BORN;Nee;ELT shift 10;TL;;TL
ELT;9;H9;BORN;Nee;ELT shift 9;TL;;TL
ELT;8;H8;BORN;Nee;ELT shift 8;TL;;TL
ELT;7;H7;BORN;Nee;ELT shift 7;TL;;TL
ELT;6;H6;BORN;Nee;ELT shift 6;TL;;TL
ELT;5;H5;BORN;Nee;ELT shift 5;TL;;TL
ELT;4;H4;BORN;Nee;ELT shift 4;TL;;TL
ELT;3;H3;BORN;Nee;ELT shift 3;TL;;TL
ELT;2;H2;BORN;Nee;ELT shift 2;TL;;TL
ELT;1;H1;BORN;Nee;ELT shift 1;TL;;TL
ELT;N;N;BORN;Nee;ELT shift N;TL;;TL
GS;9;H9;BORN;Nee;GS shift 9;XWW;;XWW
GS;8;H8;BORN;Nee;GS shift 8;XWW;;XWW
GS;7;H7;BORN;Nee;GS shift 7;XWW;;XWW
GS;6;H6;BORN;Nee;GS shift 6;XWW;;XWW
GS;5;H5;BORN;Nee;GS shift 5;XWW;;XWW
GS;4;H4;BORN;Nee;GS shift 4;HT;;HT
GS;3;H3;BORN;Nee;GS shift 3;HT;;HT
GS;2;H2;BORN;Nee;GS shift 2;HT;;HT
GS;1;H1;BORN;Nee;GS shift 1;HT;;HT
GS;N;N;BORN;Nee;GS shift N;HT;;HT
HBD;9;H9;BORN;Nee;HBD shift 9;TL;;TL
HBD;8;H8;BORN;Nee;HBD shift 8;TL;;TL
HBD;7;H7;BORN;Nee;HBD shift 7;TL;;TL
HBD;6;H6;BORN;Nee;HBD shift 6;TL;;TL
HBD;5;H5;BORN;Nee;HBD shift 5;TL;;TL
HBD;4;H4;BORN;Nee;HBD shift 4;NIWG;;NIWG
HBD;3;H3;BORN;Nee;HBD shift 3;NIWG;;NIWG
HBD;2;H2;BORN;Nee;HBD shift 2;NIWG;;NIWG
HBD;1;H1;BORN;Nee;HBD shift 1;NIWG;;NIWG
HBD;N;N;BORN;Nee;HBD shift N;NIWG;;NIWG
HGL;10;H10;BORN;Nee;HGL shift 10;TL;;TL
HGL;9;H9;BORN;Nee;HGL shift 9;TL;;TL
HGL;8;H8;BORN;Nee;HGL shift 8;TL;;TL
HGL;7;H7;BORN;Nee;HGL shift 7;TL;;TL
HGL;6;H6;BORN;Nee;HGL shift 6;TL;;TL
HGL;5;H5;BORN;Nee;HGL shift 5;TL;;TL
HGL;4;H4;BORN;Nee;HGL shift 4;AMF;;AMF
HGL;3;H3;BORN;Nee;HGL shift 3;AMF;;AMF
HGL;2;H2;BORN;Nee;HGL shift 2;AMF;;AMF
HGL;1;H1;BORN;Nee;HGL shift 1;AMF;;AMF
HGL;N;N;BORN;Nee;HGL shift N;AMF;;AMF
HT;9;H9;BORN;Nee;HT shift 9;XWW;;XWW
HT;8;H8;BORN;Nee;HT shift 8;XWW;;XWW
HT;7;H7;BORN;Nee;HT shift 7;XWW;;XWW
HT;6;H6;BORN;Nee;HT shift 6;XWW;;XWW
HT;5;H5;BORN;Nee;HT shift 5;XWW;;XWW
HT;4;H4;BORN;Nee;HT shift 4;HT;;HT
HT;3;H3;BORN;Nee;HT shift 3;HT;;HT
HT;2;H2;BORN;Nee;HT shift 2;HT;;HT
HT;1;H1;BORN;Nee;HT shift 1;HT;;HT
HT;N;N;BORN;Nee;HT shift N;HT;;HT
HW;10;H10;BORN;Nee;HW shift 10;XASD;;XASD
HW;9;H9;BORN;Nee;HW shift 9;XASD;;XASD
HW;8;H8;BORN;Nee;HW shift 8;XASD;;XASD
HW;7;H7;BORN;Nee;HW shift 7;XASD;;XASD
HW;6;H6;BORN;Nee;HW shift 6;XASD;;XASD
HW;5;H5;BORN;Nee;HW shift 5;XASD;;XASD
HW;4;H4;BORN;Nee;HW shift 4;XASD;;XASD
HW;3;H3;BORN;Nee;HW shift 3;XASD;;XASD
HW;2;H2;BORN;Nee;HW shift 2;XASD;;XASD
HW;1;H1;BORN;Nee;HW shift 1;XASD;;XASD
HW;N;N;BORN;Nee;HW shift N;XASD;;XASD
KHM;10;H10;BORN;Nee;KHM shift 10;TL;;TL
KHM;9;H9;BORN;Nee;KHM shift 9;TL;;TL
KHM;8;H8;BORN;Nee;KHM shift 8;TL;;TL
KHM;7;H7;BORN;Nee;KHM shift 7;TL;;TL
KHM;6;H6;BORN;Nee;KHM shift 6;TL;;TL
KHM;5;H5;BORN;Nee;KHM shift 5;TL;;TL
KHM;4;H4;BORN;Nee;KHM shift 4;AMF;;AMF
KHM;3;H3;BORN;Nee;KHM shift 3;AMF;;AMF
KHM;2;H2;BORN;Nee;KHM shift 2;AMF;;AMF
KHM;1;H1;BORN;Nee;KHM shift 1;AMF;;AMF
KHM;N;N;BORN;Nee;KHM shift N;AMF;;AMF
LW;9;H9;BORN;Nee;LW shift 9;TL;;TL
LW;8;H8;BORN;Nee;LW shift 8;TL;;TL
LW;7;H7;BORN;Nee;LW shift 7;TL;;TL
LW;6;H6;BORN;Nee;LW shift 6;TL;;TL
LW;5;H5;BORN;Nee;LW shift 5;TL;;TL
LW;4;H4;BORN;Nee;LW shift 4;AMF;;AMF
LW;3;H3;BORN;Nee;LW shift 3;AMF;;AMF
LW;2;H2;BORN;Nee;LW shift 2;AMF;;AMF
LW;1;H1;BORN;Nee;LW shift 1;AMF;;AMF
LW;N;N;BORN;Nee;LW shift N;AMF;;AMF
MECH;4;H4;BORN;Nee;MECH shift 4;XWW;;XWW
MECH;3;H3;BORN;Nee;MECH shift 3;XWW;;XWW
MECH;2;H2;BORN;Nee;MECH shift 2;XWW;;XWW
MECH;1;H1;BORN;Nee;MECH shift 1;XWW;;XWW
NAM;3;H3;BORN;Nee;NAM shift 3;XWW;;XWW
NAM;2;H2;BORN;Nee;NAM shift 2;XWW;;XWW
NAM;1;H1;BORN;Nee;NAM shift 1;XWW;;XWW
NIWG;9;H9;BORN;Nee;NIWG shift 9;TL;;TL
NIWG;8;H8;BORN;Nee;NIWG shift 8;TL;;TL
NIWG;7;H7;BORN;Nee;NIWG shift 7;TL;;TL
NIWG;6;H6;BORN;Nee;NIWG shift 6;TL;;TL
NIWG;5;H5;BORN;Nee;NIWG shift 5;TL;;TL
NIWG;4;H4;BORN;Nee;NIWG shift 4;NIWG;;NIWG
NIWG;3;H3;BORN;Nee;NIWG shift 3;NIWG;;NIWG
NIWG;2;H2;BORN;Nee;NIWG shift 2;NIWG;;NIWG
NIWG;1;H1;BORN;Nee;NIWG shift 1;NIWG;;NIWG
NIWG;N;N;BORN;Nee;NIWG shift N;NIWG;;NIWG
OEV;5;H5;BORN;Nee;OEV shift 5;XWW;;XWW
OEV;4;H4;BORN;Nee;OEV shift 4;XWW;;XWW
OEV;3;H3;BORN;Nee;OEV shift 3;XWW;;XWW
OEV;2;H2;BORN;Nee;OEV shift 2;XWW;;XWW
OEV;1;H1;BORN;Nee;OEV shift 1;XWW;;XWW
OPM;9;H9;BORN;Nee;OPM shift 9;XASD;;XASD
OPM;8;H8;BORN;Nee;OPM shift 8;XASD;;XASD
OPM;7;H7;BORN;Nee;OPM shift 7;XASD;;XASD
OPM;6;H6;BORN;Nee;OPM shift 6;XASD;;XASD
OPM;5;H5;BORN;Nee;OPM shift 5;XASD;;XASD
OPM;4;H4;BORN;Nee;OPM shift 4;XASD;;XASD
OPM;3;H3;BORN;Nee;OPM shift 3;XASD;;XASD
OPM;2;H2;BORN;Nee;OPM shift 2;XASD;;XASD
OPM;1;H1;BORN;Nee;OPM shift 1;XASD;;XASD
OPM;N;N;BORN;Nee;OPM shift N;XASD;;XASD
RD;9;H9;BORN;Nee;RD shift 9;TL;;TL
RD;8;H8;BORN;Nee;RD shift 8;TL;;TL
RD;7;H7;BORN;Nee;RD shift 7;TL;;TL
RD;6;H6;BORN;Nee;RD shift 6;TL;;TL
RD;5;H5;BORN;Nee;RD shift 5;TL;;TL
RD;4;H4;BORN;Nee;RD shift 4;NIWG;;NIWG
RD;3;H3;BORN;Nee;RD shift 3;NIWG;;NIWG
RD;2;H2;BORN;Nee;RD shift 2;NIWG;;NIWG
RD;1;H1;BORN;Nee;RD shift 1;NIWG;;NIWG
RD;N;N;BORN;Nee;RD shift N;NIWG;;NIWG
SNI;5;H5;BORN;Nee;SNI shift 5;XWW;;XWW
SNI;4;H4;BORN;Nee;SNI shift 4;XWW;;XWW
SNI;3;H3;BORN;Nee;SNI shift 3;XWW;;XWW
SNI;2;H2;BORN;Nee;SNI shift 2;XWW;;XWW
SNI;1;H1;BORN;Nee;SNI shift 1;XWW;;XWW
SON;8;H8;BORN;Nee;SON shift 8;XWW;;XWW
SON;7;H7;BORN;Nee;SON shift 7;XWW;;XWW
SON;6;H6;BORN;Nee;SON shift 6;XWW;;XWW
SON;5;H5;BORN;Nee;SON shift 5;XWW;;XWW
SON;4;H4;BORN;Nee;SON shift 4;HT;;HT
SON;3;H3;BORN;Nee;SON shift 3;HT;;HT
SON;2;H2;BORN;Nee;SON shift 2;HT;;HT
SON;1;H1;BORN;Nee;SON shift 1;HT;;HT
SON;N;N;BORN;Nee;SON shift N;HT;;HT
SSH;10;H10;BORN;Nee;SSH shift 10;XASD;;XASD
SSH;9;H9;BORN;Nee;SSH shift 9;XASD;;XASD
SSH;8;H8;BORN;Nee;SSH shift 8;XASD;;XASD
SSH;7;H7;BORN;Nee;SSH shift 7;XASD;;XASD
SSH;6;H6;BORN;Nee;SSH shift 6;XASD;;XASD
SSH;5;H5;BORN;Nee;SSH shift 5;XASD;;XASD
SSH;4;H4;BORN;Nee;SSH shift 4;XASD;;XASD
SSH;3;H3;BORN;Nee;SSH shift 3;XASD;;XASD
SSH;2;H2;BORN;Nee;SSH shift 2;XASD;;XASD
SSH;1;H1;BORN;Nee;SSH shift 1;XASD;;XASD
SSH;N;N;BORN;Nee;SSH shift N;XASD;;XASD
STT;6;H6;BORN;Nee;STT shift 6;XWW;;XWW
STT;5;H5;BORN;Nee;STT shift 5;XWW;;XWW
STT;4;H4;BORN;Nee;STT shift 4;XWW;;XWW
STT;3;H3;BORN;Nee;STT shift 3;XWW;;XWW
STT;2;H2;BORN;Nee;STT shift 2;XWW;;XWW
STT;1;H1;BORN;Nee;STT shift 1;XWW;;XWW
TB;8;H8;BORN;Nee;TB shift 8;TL;;TL
TB;7;H7;BORN;Nee;TB shift 7;TL;;TL
TB;6;H6;BORN;Nee;TB shift 6;TL;;TL
TB;5;H5;BORN;Nee;TB shift 5;TL;;TL
TB;4;H4;BORN;Nee;TB shift 4;TL;;TL
TB;3;H3;BORN;Nee;TB shift 3;TL;;TL
TB;2;H2;BORN;Nee;TB shift 2;TL;;TL
TB;1;H1;BORN;Nee;TB shift 1;TL;;TL
TB;N;N;BORN;Nee;TB shift N;TL;;TL
UT;9;H9;BORN;Nee;UT shift 9;TL;;TL
UT;8;H8;BORN;Nee;UT shift 8;TL;;TL
UT;7;H7;BORN;Nee;UT shift 7;TL;;TL
UT;6;H6;BORN;Nee;UT shift 6;TL;;TL
UT;5;H5;BORN;Nee;UT shift 5;TL;;TL
UT;4;H4;BORN;Nee;UT shift 4;NIWG;;NIWG
UT;3;H3;BORN;Nee;UT shift 3;NIWG;;NIWG
UT;2;H2;BORN;Nee;UT shift 2;NIWG;;NIWG
UT;1;H1;BORN;Nee;UT shift 1;NIWG;;NIWG
UT;N;N;BORN;Nee;UT shift N;NIWG;;NIWG
VIL;8;H8;BORN;Nee;VIL shift 8;XWW;;XWW
VIL;7;H7;BORN;Nee;VIL shift 7;XWW;;XWW
VIL;6;H6;BORN;Nee;VIL shift 6;XWW;;XWW
VIL;5;H5;BORN;Nee;VIL shift 5;XWW;;XWW
VIL;4;H4;BORN;Nee;VIL shift 4;XWW;;XWW
VIL;3;H3;BORN;Nee;VIL shift 3;XWW;;XWW
VIL;2;H2;BORN;Nee;VIL shift 2;XWW;;XWW
VIL;1;H1;BORN;Nee;VIL shift 1;XWW;;XWW
VL;9;H9;BORN;Nee;VL shift 9;XWW;;XWW
VL;8;H8;BORN;Nee;VL shift 8;XWW;;XWW
VL;7;H7;BORN;Nee;VL shift 7;XWW;;XWW
VL;6;H6;BORN;Nee;VL shift 6;XWW;;XWW
VL;5;H5;BORN;Nee;VL shift 5;XWW;;XWW
VL;4;H4;BORN;Nee;VL shift 4;HT;;HT
VL;3;H3;BORN;Nee;VL shift 3;HT;;HT
VL;2;H2;BORN;Nee;VL shift 2;HT;;HT
VL;1;H1;BORN;Nee;VL shift 1;HT;;HT
VL;N;N;BORN;Nee;VL shift N;HT;;HT
WB;6;H6;BORN;Nee;WB shift 6;XWW;;XWW
WB;5;H5;BORN;Nee;WB shift 5;XWW;;XWW
WB;4;H4;BORN;Nee;WB shift 4;XWW;;XWW
WB;3;H3;BORN;Nee;WB shift 3;XWW;;XWW
WB;2;H2;BORN;Nee;WB shift 2;XWW;;XWW
WB;1;H1;BORN;Nee;WB shift 1;XWW;;XWW
WB;N;N;BORN;Nee;WB shift N;XWW;;XWW
WML;7;H7;BORN;Nee;WML shift 7;XWW;;XWW
WML;6;H6;BORN;Nee;WML shift 6;XWW;;XWW
WML;5;H5;BORN;Nee;WML shift 5;XWW;;XWW
WML;4;H4;BORN;Nee;WML shift 4;XWW;;XWW
WML;3;H3;BORN;Nee;WML shift 3;XWW;;XWW
WML;2;H2;BORN;Nee;WML shift 2;XWW;;XWW
WML;1;H1;BORN;Nee;WML shift 1;XWW;;XWW
WVN;9;H9;BORN;Nee;WVN shift 9;TL;;TL
WVN;8;H8;BORN;Nee;WVN shift 8;TL;;TL
WVN;7;H7;BORN;Nee;WVN shift 7;TL;;TL
WVN;6;H6;BORN;Nee;WVN shift 6;TL;;TL
WVN;5;H5;BORN;Nee;WVN shift 5;TL;;TL
WVN;4;H4;BORN;Nee;WVN shift 4;NIWG;;NIWG
WVN;3;H3;BORN;Nee;WVN shift 3;NIWG;;NIWG
WVN;2;H2;BORN;Nee;WVN shift 2;NIWG;;NIWG
WVN;1;H1;BORN;Nee;WVN shift 1;NIWG;;NIWG
WVN;N;N;BORN;Nee;WVN shift N;NIWG;;NIWG
WZN;8;H8;BORN;Nee;WZN shift 8;XASD;;XASD
WZN;7;H7;BORN;Nee;WZN shift 7;XASD;;XASD
WZN;6;H6;BORN;Nee;WZN shift 6;XASD;;XASD
WZN;5;H5;BORN;Nee;WZN shift 5;XASD;;XASD
WZN;4;H4;BORN;Nee;WZN shift 4;XASD;;XASD
WZN;3;H3;BORN;Nee;WZN shift 3;XASD;;XASD
WZN;2;H2;BORN;Nee;WZN shift 2;XASD;;XASD
WZN;1;H1;BORN;Nee;WZN shift 1;XASD;;XASD
WZN;N;N;BORN;Nee;WZN shift N;XASD;;XASD
ZL;10;H10;BORN;Nee;ZL shift 10;TL;;TL
ZL;9;H9;BORN;Nee;ZL shift 9;TL;;TL
ZL;8;H8;BORN;Nee;ZL shift 8;TL;;TL
ZL;7;H7;BORN;Nee;ZL shift 7;TL;;TL
ZL;6;H6;BORN;Nee;ZL shift 6;TL;;TL
ZL;5;H5;BORN;Nee;ZL shift 5;TL;;TL
ZL;4;H4;BORN;Nee;ZL shift 4;AMF;;AMF
ZL;3;H3;BORN;Nee;ZL shift 3;AMF;;AMF
ZL;2;H2;BORN;Nee;ZL shift 2;AMF;;AMF
ZL;1;H1;BORN;Nee;ZL shift 1;AMF;;AMF
ZL;N;N;BORN;Nee;ZL shift N;AMF;;AMF
HGV;10;H10;BORN;Nee;HGV shift 10;TL;;TL
HGV;9;H9;BORN;Nee;HGV shift 9;TL;;TL
HGV;8;H8;BORN;Nee;HGV shift 8;TL;;TL
HGV;7;H7;BORN;Nee;HGV shift 7;TL;;TL
HGV;6;H6;BORN;Nee;HGV shift 6;TL;;TL
HGV;5;H5;BORN;Nee;HGV shift 5;TL;;TL
HGV;4;H4;BORN;Nee;HGV shift 4;AMF;;AMF
HGV;3;H3;BORN;Nee;HGV shift 3;AMF;;AMF
HGV;2;H2;BORN;Nee;HGV shift 2;AMF;;AMF
HGV;1;H1;BORN;Nee;HGV shift 1;AMF;;AMF
HGV;N;N;BORN;Nee;HGV shift N;AMF;;AMF
AL;4;H4;DDT;Nee;AL shift 4;WVN;;WVN
AL;3;H3;DDT;Nee;AL shift 3;WVN;;WVN
AL;2;H2;DDT;Nee;AL shift 2;WVN;;WVN
AL;1;H1;DDT;Nee;AL shift 1;WVN;;WVN
AL;N;N;DDT;Nee;AL shift N;WVN;;WVN
ALR;9;H9;DDT;Nee;ALR shift 9;TL;;TL
